Neurons,Sigma1,Sigm2,Sigma3,Sigma4,Sigma5,Sigma6,Sigma7,Sigma8,Sigma9,Sigma10
5,0.0425148194186,0.0401626612288,0.0382191324986,0.0422755419956,0.0462142135533,0.0526173677476,0.0355185074158,0.0521184848763,0.0335621530276,0.0365571899873
10,0.0391269254179,0.0324984572188,0.0377917665275,0.040128715162,0.0374924719715,0.03117128196,0.0398417581864,0.0429946429481,0.0369453130063,0.0351637793019
20,0.0323528592832,0.0333986833234,0.0367817453314,0.037242696177,0.0319128051597,0.0340159563175,0.0325830554901,0.0321796844544,0.0382001654147,0.0314894966694
30,0.0447329422662,0.0367717270564,0.0355377820249,0.0364448079802,0.0331944890343,0.0362089759327,0.0377403308064,0.0342684225414,0.0318490712009,0.0327901206384
40,0.0343150263325,0.0316852952462,0.0391999374841,0.0329635997864,0.0340474296347,0.0328222896104,0.0324218067468,0.0324719301461,0.0321149103986,0.0340135828377
50,0.0333731792143,0.0329386264374,0.0337688371012,0.0315267091814,0.0312278442962,0.0333777666851,0.0321119471993,0.0337570661894,0.0331925558,0.0334170111655
60,0.0328406129573,0.0337819457403,0.03133488243,0.0334776108455,0.0325806283991,0.0337259786775,0.0315370454481,0.0318053753573,0.0337375619979,0.0319287225568
70,0.0358198957197,0.0319033525048,0.0351024579024,0.0333263669113,0.0335691166836,0.0320029366701,0.0313481826859,0.0317294251192,0.0333712563857,0.0329153540404
80,0.034916833488,0.0333747175233,0.0325871224118,0.0353783869606,0.0334131283494,0.0348335322095,0.032294440278,0.0327528290518,0.0331108784056,0.0338159364059
90,0.0339510667174,0.034138806053,0.0338498451163,0.0334754459806,0.034056469016,0.0350993672236,0.0329498375382,0.0346229055787,0.0355050457571,0.0327917395649
100,0.0331131339439,0.0330267332022,0.0360169461972,0.0335557380464,0.0324030385752,0.0339595412233,0.0332858494919,0.0332936785072,0.0351401499305,0.0331877411656
